Column1,Employee Code,Date,Time,Column5,Attendance Code,Column7,Column8
1,50,06/01/2026,7:24:33 am,1,0,1,0
1,50,06/01/2026,5:24:33 pm,1,1,1,0
2,25,06/01/2026,8:14:33 am,1,0,1,0
2,25,06/01/2026,5:00:33 pm,1,1,1,0
4,56,06/01/2026,8:16:33 am,1,0,1,0
4,56,06/01/2026,5:00:33 pm,1,1,1,0
4,56,06/01/2026,5:10:33 pm,1,4,1,0
4,56,06/01/2026,8:00:33 pm,1,5,1,0
6,86,06/01/2026,8:05:33 am,1,0,1,0
6,86,06/01/2026,3:38:33 pm,1,1,1,0
7,36,06/01/2026,8:00:33 am,1,0,1,0
7,36,06/01/2026,5:05:33 pm,1,1,1,0
8,39,06/01/2026,8:00:33 am,1,0,1,0
8,39,06/01/2026,5:05:33 pm,1,1,1,0
9,91,06/01/2026,8:00:33 am,1,0,1,0
9,91,06/01/2026,5:05:33 pm,1,1,1,0
10 - L,38,06/01/2026,8:26:33 am,1,0,1,0
10 - L,38,06/01/2026,5:00:33 pm,1,1,1,0
10 - OT,38,06/01/2026,5:02:33 pm,1,4,1,0
10 - OT,38,06/01/2026,10:00:33 pm,1,5,1,0
11,37,06/01/2026,8:46:33 am,1,0,1,0
11,37,06/01/2026,5:16:33 pm,1,1,1,0
11,37,06/01/2026,5:17:33 pm,1,4,1,0
11,37,06/01/2026,9:00:33 pm,1,5,1,0
12,47,06/01/2026,8:00:33 am,1,0,1,0
12,47,06/01/2026,5:05:33 pm,1,1,1,0
13,8,06/01/2026,8:00:33 am,1,0,1,0
13,8,06/01/2026,4:05:33 pm,1,1,1,0
14,25,06/01/2026,8:00:33 am,1,0,1,0
14,25,06/01/2026,5:05:33 pm,1,1,1,0
15,30,06/01/2026,8:10:33 am,1,0,1,0
15,30,06/01/2026,5:15:33 pm,1,1,1,0
16,87,06/01/2026,8:06:33 am,1,0,1,0
16,87,06/01/2026,5:10:33 pm,1,1,1,0
17 - L,19,06/01/2026,8:16:33 am,1,0,1,0
17 - L,19,06/01/2026,5:05:33 pm,1,1,1,0
17 - OT,19,06/01/2026,5:07:33 pm,1,4,1,0
17 - OT,19,06/01/2026,9:00:33 pm,1,5,1,0
,20,06/02/2026,7:24:33 am,1,0,1,0
,20,06/02/2026,5:24:33 pm,1,1,1,0
,25,06/02/2026,8:14:33 am,1,0,1,0
,25,06/02/2026,5:00:33 pm,1,1,1,0
,25,06/02/2026,8:10:33 am,1,0,1,0
,25,06/02/2026,5:00:33 pm,1,1,1,0
5 - A,73,06/02/2026,8:10:33 am,1,0,1,0
5 - A,73,06/02/2026,5:00:33 pm,1,1,1,0
,86,06/02/2026,8:05:33 am,1,0,1,0
,86,06/02/2026,5:38:33 pm,1,1,1,0
,36,06/02/2026,8:00:33 am,1,0,1,0
,36,06/02/2026,5:05:33 pm,1,1,1,0
,39,06/02/2026,8:00:33 am,1,0,1,0
,39,06/02/2026,5:05:33 pm,1,1,1,0
,91,06/02/2026,8:00:33 am,1,0,1,0
,91,06/02/2026,5:05:33 pm,1,1,1,0
10 - U,38,06/02/2026,8:12:33 am,1,0,1,0
10 - U,38,06/02/2026,3:00:33 pm,1,1,1,0
,37,06/02/2026,8:09:33 am,1,0,1,0
,37,06/02/2026,3:16:33 pm,1,1,1,0
,47,06/02/2026,8:00:33 am,1,0,1,0
,47,06/02/2026,6:05:33 pm,1,1,1,0
,8,06/02/2026,8:02:33 am,1,0,1,0
,8,06/02/2026,5:15:33 pm,1,1,1,0
,30,06/02/2026,8:11:33 am,1,0,1,0
,30,06/02/2026,5:20:33 pm,1,1,1,0
,87,06/02/2026,8:06:33 am,1,0,1,0
,87,06/02/2026,5:10:33 pm,1,1,1,0
17 - U,19,06/02/2026,8:16:33 am,1,0,1,0
17 - U,19,06/02/2026,12:20:33 pm,1,1,1,0
7 - PH,36,06/03/2026,7:30:33 am,1,0,1,0
7 - PH,36,06/03/2026,4:05:33 pm,1,1,1,0
10 - PH,38,06/03/2026,8:03:33 am,1,0,1,0
10 - PH,38,06/03/2026,5:00:33 pm,1,1,1,0
14 - PH,25,06/03/2026,8:00:33 am,1,0,1,0
14 - PH,25,06/03/2026,5:05:33 pm,1,1,1,0
17 - PH,19,06/03/2026,8:08:33 am,1,0,1,0
17 - PH,19,06/03/2026,5:08:33 pm,1,1,1,0
17 - PH,19,06/03/2026,5:18:33 pm,1,4,1,0
17 - PH,19,06/03/2026,8:18:33 pm,1,5,1,0
