Column1,Employee Code,Date,Time,Column5,Attendance Code,Column7,Column8
,74,18/06/2026,7:05:42 AM,1,0,1,0
,20,18/06/2026,7:18:09 AM,1,0,1,0
,49,18/06/2026,7:24:20 AM,1,0,1,0
,70,18/06/2026,7:34:57 AM,1,0,1,0
,89,18/06/2026,7:38:43 AM,1,0,1,0
,30,18/06/2026,7:49:11 AM,1,0,1,0
,78,18/06/2026,7:50:36 AM,1,0,1,0
,48,18/06/2026,7:53:00 AM,1,0,1,0
,79,18/06/2026,7:53:16 AM,1,0,1,0
,19,18/06/2026,7:54:07 AM,1,0,1,0
,69,18/06/2026,8:01:29 AM,1,0,1,0
,59,18/06/2026,8:02:23 AM,1,0,1,0
,76,18/06/2026,8:06:34 AM,1,0,1,0
,83,18/06/2026,8:06:41 AM,1,0,1,0
,39,18/06/2026,8:07:07 AM,1,0,1,0
,68,18/06/2026,8:07:24 AM,1,1,1,0
,68,18/06/2026,8:07:35 AM,1,0,1,0
,56,18/06/2026,8:07:43 AM,1,0,1,0
,61,18/06/2026,8:07:59 AM,1,0,1,0
,81,18/06/2026,8:08:58 AM,1,0,1,0
,50,18/06/2026,8:09:28 AM,1,0,1,0
,62,18/06/2026,8:11:15 AM,1,0,1,0
,91,18/06/2026,8:12:35 AM,1,0,1,0
,27,18/06/2026,8:13:14 AM,1,1,1,0
,34,18/06/2026,8:13:27 AM,1,0,1,0
,36,18/06/2026,8:14:18 AM,1,0,1,0
,92,18/06/2026,8:18:18 AM,1,0,1,0
,71,18/06/2026,8:20:19 AM,1,0,1,0
,8,18/06/2026,8:22:44 AM,1,5,1,0
,8,18/06/2026,8:22:50 AM,1,0,1,0
,87,18/06/2026,8:28:22 AM,1,0,1,0
,46,18/06/2026,8:37:21 AM,1,0,1,0
,38,18/06/2026,8:44:20 AM,1,4,1,0
,37,18/06/2026,8:44:52 AM,1,0,1,0
,73,18/06/2026,8:52:56 AM,1,0,1,0
,25,18/06/2026,9:32:34 AM,1,0,1,0
,47,18/06/2026,9:33:35 AM,1,0,1,0
,66,18/06/2026,9:34:57 AM,1,0,1,0
,66,18/06/2026,9:35:06 AM,1,1,1,0
,66,18/06/2026,9:35:17 AM,1,4,1,0
,66,18/06/2026,9:35:27 AM,1,5,1,0
,66,18/06/2026,9:41:05 AM,1,0,1,0
,66,18/06/2026,9:41:10 AM,1,1,1,0
,66,18/06/2026,9:41:17 AM,1,4,1,0
,66,18/06/2026,9:41:23 AM,1,5,1,0
,66,18/06/2026,9:43:30 AM,1,0,1,0
,66,18/06/2026,9:43:34 AM,1,1,1,0
,66,18/06/2026,9:43:41 AM,1,4,1,0
,66,18/06/2026,9:43:46 AM,1,5,1,0
,71,18/06/2026,12:03:47 PM,1,1,1,0
,74,18/06/2026,4:04:29 PM,1,0,1,0
,49,18/06/2026,5:00:05 PM,1,1,1,0
,78,18/06/2026,5:00:12 PM,1,1,1,0
,62,18/06/2026,5:00:18 PM,1,1,1,0
,39,18/06/2026,5:00:23 PM,1,0,1,0
,79,18/06/2026,5:00:33 PM,1,1,1,0
,61,18/06/2026,5:00:41 PM,1,1,1,0
,83,18/06/2026,5:00:48 PM,1,1,1,0
,34,18/06/2026,5:00:56 PM,1,1,1,0
,19,18/06/2026,5:01:17 PM,1,1,1,0
,69,18/06/2026,5:01:28 PM,1,1,1,0
,81,18/06/2026,5:01:37 PM,1,1,1,0
,91,18/06/2026,5:01:43 PM,1,1,1,0
,59,18/06/2026,5:01:50 PM,1,1,1,0
,48,18/06/2026,5:01:57 PM,1,1,1,0
,39,18/06/2026,5:02:03 PM,1,1,1,0
,76,18/06/2026,5:02:10 PM,1,1,1,0
,89,18/06/2026,5:02:30 PM,1,1,1,0
,50,18/06/2026,5:02:52 PM,1,1,1,0
,73,18/06/2026,5:03:00 PM,1,1,1,0
,70,18/06/2026,5:03:09 PM,1,1,1,0
,36,18/06/2026,5:03:17 PM,1,1,1,0
,27,18/06/2026,5:03:36 PM,1,1,1,0
,56,18/06/2026,5:03:53 PM,1,1,1,0
,68,18/06/2026,5:04:03 PM,1,1,1,0
,20,18/06/2026,5:04:23 PM,1,1,1,0
,87,18/06/2026,5:04:58 PM,1,1,1,0
,38,18/06/2026,5:05:08 PM,1,1,1,0
,37,18/06/2026,5:06:57 PM,1,1,1,0
,46,18/06/2026,5:08:05 PM,1,1,1,0
,92,18/06/2026,5:08:16 PM,1,1,1,0
,8,18/06/2026,5:10:33 PM,1,0,1,0
,47,18/06/2026,6:01:14 PM,1,1,1,0
,25,18/06/2026,6:01:54 PM,1,1,1,0
,30,18/06/2026,6:02:18 PM,1,1,1,0
,86,18/06/2026,6:02:26 PM,1,1,1,0
