Column1,Employee Code,Date,Time,Column5,Attendance Code,Column7,Column8
,20,11/6/2026,7:03:37 AM,1,0,1,0
,31,11/6/2026,7:17:58 AM,1,0,1,0
,78,11/6/2026,7:26:13 AM,1,0,1,0
,49,11/6/2026,7:34:55 AM,1,0,1,0
,89,11/6/2026,7:42:59 AM,1,0,1,0
,79,11/6/2026,7:55:03 AM,1,0,1,0
,30,11/6/2026,8:00:00 AM,1,0,1,0
,59,11/6/2026,8:00:06 AM,1,0,1,0
,48,11/6/2026,8:00:11 AM,1,0,1,0
,50,11/6/2026,8:01:42 AM,1,0,1,0
,81,11/6/2026,8:02:28 AM,1,0,1,0
,27,11/6/2026,8:03:16 AM,1,0,1,0
,19,11/6/2026,8:03:58 AM,1,0,1,0
,86,11/6/2026,8:06:56 AM,1,0,1,0
,62,11/6/2026,8:08:15 AM,1,0,1,0
,92,11/6/2026,8:13:42 AM,1,0,1,0
,76,11/6/2026,8:13:54 AM,1,0,1,0
,8,11/6/2026,8:14:59 AM,1,0,1,0
,34,11/6/2026,8:16:15 AM,1,0,1,0
,36,11/6/2026,8:16:53 AM,1,0,1,0
,91,11/6/2026,8:17:49 AM,1,0,1,0
,71,11/6/2026,8:18:08 AM,1,0,1,0
,68,11/6/2026,8:18:13 AM,1,0,1,0
,69,11/6/2026,8:18:27 AM,1,0,1,0
,56,11/6/2026,8:18:38 AM,1,0,1,0
,87,11/6/2026,8:23:13 AM,1,0,1,0
,46,11/6/2026,8:39:01 AM,1,0,1,0
,73,11/6/2026,8:43:57 AM,1,0,1,0
,38,11/6/2026,8:56:10 AM,1,0,1,0
,37,11/6/2026,8:57:15 AM,1,0,1,0
,25,11/6/2026,9:40:13 AM,1,0,1,0
,47,11/6/2026,9:41:28 AM,1,0,1,0
,82,11/6/2026,12:40:39 PM,1,0,1,0
,79,11/6/2026,2:32:08 PM,1,1,1,0
,71,11/6/2026,5:00:57 PM,1,1,1,0
,92,11/6/2026,5:01:56 PM,1,1,1,0
,48,11/6/2026,5:02:34 PM,1,1,1,0
,20,11/6/2026,5:03:39 PM,1,1,1,0
,87,11/6/2026,5:03:50 PM,1,1,1,0
,69,11/6/2026,5:05:13 PM,1,1,1,0
,27,11/6/2026,5:05:26 PM,1,1,1,0
,36,11/6/2026,5:06:54 PM,1,1,1,0
,50,11/6/2026,5:07:01 PM,1,1,1,0
,31,11/6/2026,5:07:13 PM,1,1,1,0
,89,11/6/2026,5:07:58 PM,1,1,1,0
,73,11/6/2026,5:08:15 PM,1,1,1,0
,81,11/6/2026,5:08:28 PM,1,1,1,0
,62,11/6/2026,5:08:34 PM,1,1,1,0
,49,11/6/2026,5:08:39 PM,1,1,1,0
,78,11/6/2026,5:08:44 PM,1,1,1,0
,68,11/6/2026,5:11:14 PM,1,1,1,0
,56,11/6/2026,5:11:29 PM,1,1,1,0
,8,11/6/2026,5:12:01 PM,1,1,1,0
,19,11/6/2026,5:13:17 PM,1,1,1,0
,34,11/6/2026,5:13:22 PM,1,1,1,0
,91,11/6/2026,5:14:26 PM,1,1,1,0
,76,11/6/2026,5:14:33 PM,1,1,1,0
,86,11/6/2026,5:20:48 PM,1,1,1,0
,46,11/6/2026,5:22:38 PM,1,1,1,0
,37,11/6/2026,5:27:00 PM,1,1,1,0
,38,11/6/2026,5:27:18 PM,1,1,1,0
,82,11/6/2026,5:35:46 PM,1,1,1,0
,30,11/6/2026,6:23:49 PM,1,1,1,0
,47,11/6/2026,6:24:16 PM,1,1,1,0
,25,11/6/2026,6:24:46 PM,1,1,1,0
,74,13/06/2026,6:44:26 AM,1,0,1,0
,74,13/06/2026,6:44:32 AM,1,0,1,0
,20,13/06/2026,7:10:49 AM,1,0,1,0
,79,13/06/2026,7:38:55 AM,1,0,1,0
,39,13/06/2026,7:40:02 AM,1,0,1,0
,48,13/06/2026,7:40:52 AM,1,0,1,0
,71,13/06/2026,7:43:28 AM,1,0,1,0
,89,13/06/2026,7:45:44 AM,1,0,1,0
,78,13/06/2026,7:49:02 AM,1,0,1,0
,19,13/06/2026,7:52:49 AM,1,0,1,0
,30,13/06/2026,7:57:16 AM,1,0,1,0
,49,13/06/2026,7:57:44 AM,1,0,1,0
,50,13/06/2026,7:57:58 AM,1,0,1,0
,81,13/06/2026,7:59:10 AM,1,0,1,0
,27,13/06/2026,8:02:18 AM,1,0,1,0
,76,13/06/2026,8:03:50 AM,1,0,1,0
,62,13/06/2026,8:03:57 AM,1,0,1,0
,34,13/06/2026,8:05:17 AM,1,0,1,0
,69,13/06/2026,8:07:31 AM,1,0,1,0
,92,13/06/2026,8:08:23 AM,1,0,1,0
,59,13/06/2026,8:09:14 AM,1,0,1,0
,68,13/06/2026,8:12:17 AM,1,0,1,0
,56,13/06/2026,8:12:29 AM,1,0,1,0
,70,13/06/2026,8:14:12 AM,1,0,1,0
,31,13/06/2026,8:17:23 AM,1,0,1,0
,36,13/06/2026,8:19:53 AM,1,0,1,0
,87,13/06/2026,8:25:55 AM,1,0,1,0
,8,13/06/2026,8:36:25 AM,1,0,1,0
,46,13/06/2026,8:38:07 AM,1,0,1,0
,86,13/06/2026,8:38:17 AM,1,0,1,0
,38,13/06/2026,8:41:26 AM,1,0,1,0
,37,13/06/2026,8:41:44 AM,1,0,1,0
,73,13/06/2026,1:00:56 PM,1,0,1,0
,47,13/06/2026,1:18:15 PM,1,0,1,0
,86,13/06/2026,4:02:43 PM,1,1,1,0
,74,13/06/2026,4:11:01 PM,1,1,1,0
,49,13/06/2026,5:00:02 PM,1,1,1,0
,39,13/06/2026,5:00:07 PM,1,1,1,0
,79,13/06/2026,5:00:12 PM,1,1,1,0
,78,13/06/2026,5:00:17 PM,1,1,1,0
,62,13/06/2026,5:00:21 PM,1,1,1,0
,59,13/06/2026,5:00:25 PM,1,1,1,0
,81,13/06/2026,5:00:30 PM,1,1,1,0
,76,13/06/2026,5:00:35 PM,1,1,1,0
,27,13/06/2026,5:00:41 PM,1,1,1,0
,19,13/06/2026,5:00:44 PM,1,1,1,0
,34,13/06/2026,5:00:52 PM,1,1,1,0
,89,13/06/2026,5:00:56 PM,1,1,1,0
,73,13/06/2026,5:01:01 PM,1,1,1,0
,56,13/06/2026,5:01:06 PM,1,1,1,0
,71,13/06/2026,5:01:10 PM,1,1,1,0
,69,13/06/2026,5:01:15 PM,1,1,1,0
,68,13/06/2026,5:01:20 PM,1,1,1,0
,48,13/06/2026,5:01:25 PM,1,1,1,0
,36,13/06/2026,5:01:30 PM,1,1,1,0
,70,13/06/2026,5:01:37 PM,1,1,1,0
,20,13/06/2026,5:01:43 PM,1,1,1,0
,46,13/06/2026,5:04:19 PM,1,1,1,0
,37,13/06/2026,5:04:24 PM,1,1,1,0
,50,13/06/2026,5:04:29 PM,1,1,1,0
,50,13/06/2026,5:04:33 PM,1,1,1,0
,38,13/06/2026,5:07:38 PM,1,1,1,0
,30,13/06/2026,5:12:59 PM,1,1,1,0
,31,13/06/2026,5:15:49 PM,1,1,1,0
,87,13/06/2026,5:17:26 PM,1,1,1,0
,47,13/06/2026,5:32:17 PM,1,1,1,0
,30,15/06/2026,6:51:02 AM,1,0,1,0
,74,15/06/2026,6:56:31 AM,1,0,1,0
,20,15/06/2026,7:02:27 AM,1,0,1,0
,78,15/06/2026,7:38:35 AM,1,0,1,0
,89,15/06/2026,7:42:12 AM,1,0,1,0
,59,15/06/2026,7:49:37 AM,1,0,1,0
,61,15/06/2026,7:50:25 AM,1,0,1,0
,19,15/06/2026,7:51:08 AM,1,0,1,0
,79,15/06/2026,7:51:20 AM,1,0,1,0
,76,15/06/2026,7:51:36 AM,1,0,1,0
,39,15/06/2026,7:57:15 AM,1,0,1,0
,83,15/06/2026,7:57:20 AM,1,0,1,0
,81,15/06/2026,7:58:10 AM,1,0,1,0
,34,15/06/2026,8:01:55 AM,1,0,1,0
,39,15/06/2026,8:03:00 AM,1,0,1,0
,39,15/06/2026,8:03:25 AM,1,0,1,0
,83,15/06/2026,8:03:34 AM,1,0,1,0
,83,15/06/2026,8:03:39 AM,1,0,1,0
,31,15/06/2026,8:06:11 AM,1,0,1,0
,69,15/06/2026,8:07:45 AM,1,0,1,0
,62,15/06/2026,8:08:12 AM,1,0,1,0
,68,15/06/2026,8:08:23 AM,1,0,1,0
,56,15/06/2026,8:08:50 AM,1,0,1,0
,27,15/06/2026,8:09:18 AM,1,0,1,0
,50,15/06/2026,8:09:34 AM,1,0,1,0
,91,15/06/2026,8:11:51 AM,1,0,1,0
,49,15/06/2026,8:13:50 AM,1,0,1,0
